id,friendlyName,group,help,type,dbField2
dns.answer.ds,DNS Answer DS,dns,DNS Answer DS,termfield,dns.answers.ds
dns.header_flags,DNS Header Flags,dns,DNS Header Flags,uptermfield,dns.headerFlags
dns.header_flags.cnt,DNS Header Flags Cnt,dns,Unique number of DNS Header Flags,integer,dns.headerFlagsCnt
dns.answer.name,DNS Name,dns,DNS Answer Name,termfield,dns.answers.name
tls.ja4,JA4,tls,SSL/TLS JA4 field,lotermfield,tls.ja4
tls.ja4_r,JA4_r,tls,SSL/TLS JA4_r field,lotermfield,tls.ja4_r
enip.command,ENIP Command,enip,"ENIP encapsulation command (e.g. ListIdentity, RegisterSession, SendRRData)",termfield,enip.command
enip.command.cnt,ENIP Command Cnt,enip,"Unique number of ENIP encapsulation command (e.g. ListIdentity, RegisterSession, SendRRData)",integer,enip.commandCnt
enip.status,ENIP Status,enip,ENIP encapsulation status codes,integer,enip.status
enip.status.cnt,ENIP Status Cnt,enip,Unique number of ENIP encapsulation status codes,integer,enip.statusCnt
enip.service,CIP Service,enip,"CIP service name (e.g. Get_Attribute_Single, Read_Tag, Forward_Open)",termfield,enip.service
enip.service.cnt,CIP Service Cnt,enip,"Unique number of CIP service name (e.g. Get_Attribute_Single, Read_Tag, Forward_Open)",integer,enip.serviceCnt
enip.class,CIP Class,enip,"CIP object class name (e.g. Identity, Message Router)",termfield,enip.class
enip.class.cnt,CIP Class Cnt,enip,"Unique number of CIP object class name (e.g. Identity, Message Router)",integer,enip.classCnt
enip.vendor,ENIP Vendor,enip,"ENIP vendor name (looked up from vendor id, or Vendor-N if unknown)",termfield,enip.vendor
enip.vendor.cnt,ENIP Vendor Cnt,enip,"Unique number of ENIP vendor name (looked up from vendor id, or Vendor-N if unknown)",integer,enip.vendorCnt
enip.product,ENIP Product,enip,ENIP product name string from a ListIdentity response,termfield,enip.product
enip.product.cnt,ENIP Product Cnt,enip,Unique number of ENIP product name string from a ListIdentity response,integer,enip.productCnt
enip.device-type,ENIP Device Type,enip,ENIP device type from ListIdentity,termfield,enip.deviceType
enip.device-type.cnt,ENIP Device Type Cnt,enip,Unique number of ENIP device type from ListIdentity,integer,enip.deviceTypeCnt
esis.type,Type,esis,ES-IS PDU Type,lotermfield,esis.type
ftp.command,Command,ftp,FTP command,uptermfield,ftp.command
ftp.command.cnt,Command Cnt,ftp,Unique number of FTP command,integer,ftp.commandCnt
ftp.filename,Filename,ftp,FTP filename argument (RETR/STOR/DELE/RNFR/RNTO/MKD/RMD/SIZE/MDTM),termfield,ftp.filename
ftp.filename.cnt,Filename Cnt,ftp,Unique number of FTP filename argument (RETR/STOR/DELE/RNFR/RNTO/MKD/RMD/SIZE/MDTM),integer,ftp.filenameCnt
ftp.responseCode,Response Code,ftp,FTP response code,integer,ftp.responseCode
ftp.responseCode.cnt,Response Code Cnt,ftp,Unique number of FTP response code,integer,ftp.responseCodeCnt
ftp.banner,Banner,ftp,FTP server welcome banner,termfield,ftp.banner
ftp.banner.cnt,Banner Cnt,ftp,Unique number of FTP server welcome banner,integer,ftp.bannerCnt
host.http,HTTP Host,http,HTTP host header field,lotermfield,http.host
host.http.tokens,HTTP Host Tokens,http,HTTP host Tokens header field,lotextfield,http.hostTokens
http.uri,HTTP URI,http,URIs for request,termfield,http.uri
http.uri.cnt,HTTP URI Cnt,http,Unique number of URIs for request,integer,http.uriCnt
http.uri.tokens,HTTP URI Tokens,http,URIs Tokens for request,lotextfield,http.uriTokens
ip.xff,HTTP XFF IP,http,X-Forwarded-For Header,ip,http.xffIp
ip.xff.cnt,HTTP XFF IP Cnt,http,Unique number of X-Forwarded-For Header,integer,http.xffIpCnt
country.xff,HTTP XFF GEO,http,GeoIP country string calculated from the X-Forwarded-For Header,uptermfield,http.xffGEO
asn.xff,HTTP XFF ASN,http,GeoIP ASN string calculated from the X-Forwarded-For Header,termfield,http.xffASN
rir.xff,HTTP XFF RIR,http,Regional Internet Registry string calculated from X-Forwarded-For Header,uptermfield,http.xffRIR
http.user-agent,HTTP Useragent,http,User-Agent Header,termfield,http.useragent
http.user-agent.cnt,HTTP Useragent Cnt,http,Unique number of User-Agent Header,integer,http.useragentCnt
http.user-agent.tokens,HTTP Useragent Tokens,http,User-Agent Header Tokens,lotextfield,http.useragentTokens
http.hasheader.src,HTTP Src Header,http,Request has header present,lotermfield,http.requestHeader
http.hasheader.src.cnt,HTTP Src Header Cnt,http,Unique number of Request has header present,integer,http.requestHeaderCnt
http.hasheader.dst,HTTP Dst Header,http,Response has header present,lotermfield,http.responseHeader
http.hasheader.dst.cnt,HTTP Dst Header Cnt,http,Unique number of Response has header present,integer,http.responseHeaderCnt
http.hasheader.src.value,Request Header Values,http,Contains request header values,lotermfield,http.requestHeaderValue
http.hasheader.src.value.cnt,Request Header Values Cnt,http,Unique number of Contains request header values,integer,http.requestHeaderValueCnt
http.hasheader.dst.value,Response Header Values,http,Contains response header values,lotermfield,http.responseHeaderValue
http.hasheader.dst.value.cnt,Response Header Values Cnt,http,Unique number of Contains response header values,integer,http.responseHeaderValueCnt
http.hasheader,Has Src or Dst Header,http,Shorthand for http.hasheader.src or http.hasheader.dst,lotermfield,hhall
http.hasheader.value,Has Value in Src or Dst Header,http,Shorthand for http.hasheader.src.value or http.hasheader.dst.value,lotermfield,hhvalueall
http.md5,HTTP Body MD5,http,MD5 of http body response,lotermfield,http.md5
http.version,HTTP Version,http,HTTP version number,termfield,httpversion
http.version.src,HTTP Src Version,http,Request HTTP version number,termfield,http.clientVersion
http.version.src.cnt,HTTP Src Version Cnt,http,Unique number of Request HTTP version number,integer,http.clientVersionCnt
http.version.dst,HTTP Dst Version,http,Response HTTP version number,termfield,http.serverVersion
http.version.dst.cnt,HTTP Dst Version Cnt,http,Unique number of Response HTTP version number,integer,http.serverVersionCnt
http.uri.path,HTTP URI Path,http,Path portion of URI,termfield,http.path
http.uri.path.cnt,HTTP URI Path Cnt,http,Unique number of Path portion of URI,integer,http.pathCnt
http.uri.key,HTTP QS Keys,http,Keys from query string of URI,termfield,http.key
http.uri.key.cnt,HTTP QS Keys Cnt,http,Unique number of Keys from query string of URI,integer,http.keyCnt
http.uri.value,HTTP QS Values,http,Values from query string of URI,termfield,http.value
http.uri.value.cnt,HTTP QS Values Cnt,http,Unique number of Values from query string of URI,integer,http.valueCnt
http.cookie.key,HTTP Cookie Keys,http,The keys to cookies sent up in requests,termfield,http.cookieKey
http.cookie.key.cnt,HTTP Cookie Keys Cnt,http,Unique number of The keys to cookies sent up in requests,integer,http.cookieKeyCnt
http.cookie.value,HTTP Cookie Values,http,The values to cookies sent up in requests,termfield,http.cookieValue
http.cookie.value.cnt,HTTP Cookie Values Cnt,http,Unique number of The values to cookies sent up in requests,integer,http.cookieValueCnt
http.method,HTTP Request Method,http,HTTP Request Method,termfield,http.method
http.bodymagic,HTTP Body Magic,http,The content type of body determined by libfile/magic,termfield,http.bodyMagic
http.user,HTTP User,http,HTTP Auth User,termfield,http.user
http.user.cnt,HTTP User Cnt,http,Unique number of HTTP Auth User,integer,http.userCnt
http.authtype,HTTP Auth Type,http,HTTP Auth Type,lotermfield,http.authType
http.authtype.cnt,HTTP Auth Type Cnt,http,Unique number of HTTP Auth Type,integer,http.authTypeCnt
http.statuscode,HTTP Status Code,http,Response HTTP numeric status code,integer,http.statuscode
http.reqbody,HTTP Request Body,http,HTTP Request Body,termfield,http.requestBody
http.method.DELETE,Method DELETE Count,http,Number of DELETE method calls in session,integer,http.method-DELETE
http.method.GET,Method GET Count,http,Number of GET method calls in session,integer,http.method-GET
http.method.HEAD,Method HEAD Count,http,Number of HEAD method calls in session,integer,http.method-HEAD
http.method.POST,Method POST Count,http,Number of POST method calls in session,integer,http.method-POST
http.method.PUT,Method PUT Count,http,Number of PUT method calls in session,integer,http.method-PUT
http.method.CONNECT,Method CONNECT Count,http,Number of CONNECT method calls in session,integer,http.method-CONNECT
http.method.OPTIONS,Method OPTIONS Count,http,Number of OPTIONS method calls in session,integer,http.method-OPTIONS
http.request.referer,http.request.referer,http,Request header referer,termfield,http.request-referer
http.request.referer.cnt,http.request.referer Cnt,http,Unique number of Request header referer,integer,http.request-refererCnt
http.request.authorization,http.request.authorization,http,Request header authorization,termfield,http.request-authorization
http.request.authorization.cnt,http.request.authorization Cnt,http,Unique number of Request header authorization,integer,http.request-authorizationCnt
http.request.content-type,http.request.content-type,http,Request header content-type,termfield,http.request-content-type
http.request.content-type.cnt,http.request.content-type Cnt,http,Unique number of Request header content-type,integer,http.request-content-typeCnt
http.request.origin,http.request.origin,http,Request header origin,termfield,http.request-origin
http.response.location,http.response.location,http,Response header location,termfield,http.response-location
http.response.server,http.response.server,http,Response header server,termfield,http.response-server
http.response.content-type,http.response.content-type,http,Response header content-type,termfield,http.response-content-type
http.response.content-type.cnt,http.response.content-type Cnt,http,Unique number of Response header content-type,integer,http.response-content-typeCnt
http.method.cnt,HTTP Request Method Cnt,http,Unique number of HTTP Request Method,integer,http.methodCnt
http.statuscode.cnt,HTTP Status Code Cnt,http,Unique number of Response HTTP numeric status code,integer,http.statuscodeCnt
host.http.cnt,HTTP Host Cnt,http,Unique number of HTTP host header field,integer,http.hostCnt
http.bodymagic.cnt,HTTP Body Magic Cnt,http,Unique number of The content type of body determined by libfile/magic,integer,http.bodyMagicCnt
http.md5.cnt,HTTP Body MD5 Cnt,http,Unique number of MD5 of http body response,integer,http.md5Cnt
icmp.type,ICMP Type,general,ICMP type field values,integer,icmp.type
icmp.code,ICMP Code,general,ICMP code field values,integer,icmp.code
email.src,Sender,email,Email from address,lotermfield,email.src
email.dst,Receiver,email,Email to address,lotermfield,email.dst
email.subject,Subject,email,Email subject header,termfield,email.subject
email.folder,Folder,email,Email folder/mailbox name,termfield,email.folder
email.folder.cnt,Folder Cnt,email,Unique number of Email folder/mailbox name,integer,email.folderCnt
irc.nick,Nickname,irc,Nicknames set,termfield,irc.nick
irc.nick.cnt,Nickname Cnt,irc,Unique number of Nicknames set,integer,irc.nickCnt
irc.channel,Channel,irc,Channels joined,termfield,irc.channel
irc.channel.cnt,Channel Cnt,irc,Unique number of Channels joined,integer,irc.channelCnt
isakmp.initiator-spi,Initiator SPI,isakmp,ISAKMP initiator security parameter index,termfield,isakmp.initiatorSpi
isakmp.initiator-spi.cnt,Initiator SPI Cnt,isakmp,Unique number of ISAKMP initiator security parameter index,integer,isakmp.initiatorSpiCnt
isakmp.responder-spi,Responder SPI,isakmp,ISAKMP responder security parameter index,termfield,isakmp.responderSpi
isakmp.responder-spi.cnt,Responder SPI Cnt,isakmp,Unique number of ISAKMP responder security parameter index,integer,isakmp.responderSpiCnt
isakmp.version,Version,isakmp,ISAKMP version,termfield,isakmp.version
isakmp.version.cnt,Version Cnt,isakmp,Unique number of ISAKMP version,integer,isakmp.versionCnt
isakmp.exchange-type,Exchange Type,isakmp,ISAKMP exchange type,termfield,isakmp.exchangeType
isakmp.exchange-type.cnt,Exchange Type Cnt,isakmp,Unique number of ISAKMP exchange type,integer,isakmp.exchangeTypeCnt
isakmp.vendor-id,Vendor ID,isakmp,ISAKMP vendor identifier,termfield,isakmp.vendorId
isakmp.vendor-id.cnt,Vendor ID Cnt,isakmp,Unique number of ISAKMP vendor identifier,integer,isakmp.vendorIdCnt
isakmp.encryption,Encryption,isakmp,ISAKMP encryption algorithm,termfield,isakmp.encryption
isakmp.encryption.cnt,Encryption Cnt,isakmp,Unique number of ISAKMP encryption algorithm,integer,isakmp.encryptionCnt
isakmp.hash,Hash/PRF,isakmp,ISAKMP hash or PRF algorithm,termfield,isakmp.hash
isakmp.hash.cnt,Hash/PRF Cnt,isakmp,Unique number of ISAKMP hash or PRF algorithm,integer,isakmp.hashCnt
isakmp.dh-group,DH Group,isakmp,ISAKMP Diffie-Hellman group,termfield,isakmp.dhGroup
isakmp.dh-group.cnt,DH Group Cnt,isakmp,Unique number of ISAKMP Diffie-Hellman group,integer,isakmp.dhGroupCnt
isakmp.auth-method,Auth Method,isakmp,ISAKMP authentication method,termfield,isakmp.authMethod
isakmp.auth-method.cnt,Auth Method Cnt,isakmp,Unique number of ISAKMP authentication method,integer,isakmp.authMethodCnt
isis.msgType,isis.msgType,isis,ISIS Msg Type field,lotermfield,isis.msgType
krb5.realm,Realm,krb5,Kerberos 5 Realm,termfield,krb5.realm
krb5.realm.cnt,Realm Cnt,krb5,Unique number of Kerberos 5 Realm,integer,krb5.realmCnt
krb5.cname,cname,krb5,Kerberos 5 cname,termfield,krb5.cname
krb5.cname.cnt,cname Cnt,krb5,Unique number of Kerberos 5 cname,integer,krb5.cnameCnt
krb5.sname,sname,krb5,Kerberos 5 sname,termfield,krb5.sname
krb5.sname.cnt,sname Cnt,krb5,Unique number of Kerberos 5 sname,integer,krb5.snameCnt
krb5.etype,Encryption Type,krb5,Kerberos 5 encryption type,termfield,krb5.etype
krb5.etype.cnt,Encryption Type Cnt,krb5,Unique number of Kerberos 5 encryption type,integer,krb5.etypeCnt
krb5.error,Error Code,krb5,Kerberos 5 error code,termfield,krb5.error
krb5.error.cnt,Error Code Cnt,krb5,Unique number of Kerberos 5 error code,integer,krb5.errorCnt
ldap.authtype,Auth Type,ldap,The auth type of ldap bind,termfield,ldap.authtype
ldap.authtype.cnt,Auth Type Cnt,ldap,Unique number of The auth type of ldap bind,integer,ldap.authtypeCnt
ldap.bindname,Bind Name,ldap,The bind name of ldap bind,termfield,ldap.bindname
ldap.bindname.cnt,Bind Name Cnt,ldap,Unique number of The bind name of ldap bind,integer,ldap.bindnameCnt
m3ua.si,Service Indicator,m3ua,MTP3 Service Indicator,integer,m3ua.si
m3ua.si.cnt,Service Indicator Cnt,m3ua,Unique number of MTP3 Service Indicator,integer,m3ua.siCnt
modbus.unitid,Modbus Unit ID,modbus,Modbus Unit ID,integer,modbus.unitid
modbus.transactionid,Modbus Transaction IDs,modbus,Modbus Transaction IDs,integer,modbus.transactionid
modbus.transactionid.cnt,Modbus Transaction IDs Cnt,modbus,Unique number of Modbus Transaction IDs,integer,modbus.transactionidCnt
modbus.protocolid,Modbus Protocol ID,modbus,Modbus Protocol ID (should always be 0),integer,modbus.protocolid
modbus.funccode,Modbus Function Code,modbus,Modbus Function Codes,integer,modbus.funccode
modbus.funccode.cnt,Modbus Function Code Cnt,modbus,Unique number of Modbus Function Codes,integer,modbus.funccodeCnt
modbus.exccode,Modbus Exception Code,modbus,Modbus Exception Codes,integer,modbus.exccode
modbus.exccode.cnt,Modbus Exception Code Cnt,modbus,Unique number of Modbus Exception Codes,integer,modbus.exccodeCnt
mqtt.clientId,Client ID,mqtt,MQTT client identifier,termfield,mqtt.clientId
mqtt.clientId.cnt,Client ID Cnt,mqtt,Unique number of MQTT client identifier,integer,mqtt.clientIdCnt
mqtt.topic,Topic,mqtt,MQTT topic,termfield,mqtt.topic
mqtt.topic.cnt,Topic Cnt,mqtt,Unique number of MQTT topic,integer,mqtt.topicCnt
mqtt.version,Version,mqtt,MQTT protocol version,termfield,mqtt.version
mqtt.version.cnt,Version Cnt,mqtt,Unique number of MQTT protocol version,integer,mqtt.versionCnt
mqtt.type,Type,mqtt,MQTT packet type,termfield,mqtt.type
mqtt.type.cnt,Type Cnt,mqtt,Unique number of MQTT packet type,integer,mqtt.typeCnt
mqtt.willTopic,Will Topic,mqtt,MQTT last will topic,termfield,mqtt.willTopic
mqtt.willTopic.cnt,Will Topic Cnt,mqtt,Unique number of MQTT last will topic,integer,mqtt.willTopicCnt
mqtt.qos,QoS,mqtt,MQTT Quality of Service level,integer,mqtt.qos
mqtt.qos.cnt,QoS Cnt,mqtt,Unique number of MQTT Quality of Service level,integer,mqtt.qosCnt
mqtt.flags,Flags,mqtt,MQTT connection flags,termfield,mqtt.flags
mqtt.flags.cnt,Flags Cnt,mqtt,Unique number of MQTT connection flags,integer,mqtt.flagsCnt
mqtt.connackCode,CONNACK Code,mqtt,MQTT CONNACK return/reason code (0=Accepted; non-zero=rejected/error),integer,mqtt.connackCode
mqtt.connackCode.cnt,CONNACK Code Cnt,mqtt,Unique number of MQTT CONNACK return/reason code (0=Accepted; non-zero=rejected/error),integer,mqtt.connackCodeCnt
mysql.user,User,mysql,MySQL user name,lotermfield,mysql.user
mysql.ver,Version,mysql,MySQL server version string,termfield,mysql.version
nbns.name,Name,nbns,NetBIOS names,termfield,nbns.name
nbns.name.cnt,Name Cnt,nbns,Unique number of NetBIOS names,integer,nbns.nameCnt
nbns.queryType,Query Type,nbns,NetBIOS query types,termfield,nbns.queryType
nbns.queryType.cnt,Query Type Cnt,nbns,Unique number of NetBIOS query types,integer,nbns.queryTypeCnt
nbns.queryHost,Query Host,nbns,NetBIOS hosts being queried,termfield,nbns.queryHost
nbns.queryHost.cnt,Query Host Cnt,nbns,Unique number of NetBIOS hosts being queried,integer,nbns.queryHostCnt
nbns.host,Host,nbns,NetBIOS hosts from responses,termfield,nbns.host
nbns.host.cnt,Host Cnt,nbns,Unique number of NetBIOS hosts from responses,integer,nbns.hostCnt
nbns.ip,IP,nbns,IP addresses from NetBIOS responses,ip,nbns.ip
nbns.ip.cnt,IP Cnt,nbns,Unique number of IP addresses from NetBIOS responses,integer,nbns.ipCnt
nbns.ip.country,IP GEO,nbns,GeoIP country string calculated from the IP addresses from NetBIOS responses,uptermfield,nbns.GEO
nbns.ip.asn,IP ASN,nbns,GeoIP ASN string calculated from the IP addresses from NetBIOS responses,termfield,nbns.ASN
nbns.ip.rir,IP RIR,nbns,Regional Internet Registry string calculated from IP addresses from NetBIOS responses,uptermfield,nbns.RIR
ntp.version,Version,ntp,NTP version,integer,ntp.version
ntp.version.cnt,Version Cnt,ntp,Unique number of NTP version,integer,ntp.versionCnt
ntp.mode,Mode,ntp,NTP mode,termfield,ntp.mode
ntp.mode.cnt,Mode Cnt,ntp,Unique number of NTP mode,integer,ntp.modeCnt
ntp.stratum,Stratum,ntp,NTP stratum,termfield,ntp.stratum
ntp.stratum.cnt,Stratum Cnt,ntp,Unique number of NTP stratum,integer,ntp.stratumCnt
ntp.ref-id,Reference ID,ntp,NTP reference identifier,termfield,ntp.refId
ntp.ref-id.cnt,Reference ID Cnt,ntp,Unique number of NTP reference identifier,integer,ntp.refIdCnt
oracle.user,User,oracle,Oracle User,lotermfield,oracle.user
oracle.host,Oracle Host,oracle,Oracle Host,lotermfield,oracle.host
oracle.host.tokens,Hostname Tokens,oracle,Oracle Hostname Tokens,lotextfield,oracle.hostTokens
oracle.service,Service,oracle,Oracle Service,lotermfield,oracle.service
ospf.msgType,OSPF Msg Type,ospf,OSPF packet type,lotermfield,ospf.msgType
ospf.routerId,Router ID,ospf,OSPF Router ID,termfield,ospf.routerId
ospf.areaId,Area ID,ospf,OSPF Area ID,termfield,ospf.areaId
pana.user,User,pana,PANA/EAP User Identity,termfield,pana.user
pana.user.cnt,User Cnt,pana,Unique number of PANA/EAP User Identity,integer,pana.userCnt
pana.msg-type,Msg Type,pana,PANA Message Type,termfield,pana.msgType
pana.msg-type.cnt,Msg Type Cnt,pana,Unique number of PANA Message Type,integer,pana.msgTypeCnt
pana.session-id,Session ID,pana,PANA Session ID,termfield,pana.sessionId
pana.session-id.cnt,Session ID Cnt,pana,Unique number of PANA Session ID,integer,pana.sessionIdCnt
postgresql.user,User,postgresql,PostgreSQL user name,termfield,postgresql.user
postgresql.db,Database,postgresql,PostgreSQL database,termfield,postgresql.db
postgresql.app,Application,postgresql,PostgreSQL application,termfield,postgresql.app
ptp.msgType,Message Type,ptp,PTP message type,termfield,ptp.msgType
ptp.msgType.cnt,Message Type Cnt,ptp,Unique number of PTP message type,integer,ptp.msgTypeCnt
ptp.clockId,Clock ID,ptp,PTP source clock identity,termfield,ptp.clockId
ptp.clockId.cnt,Clock ID Cnt,ptp,Unique number of PTP source clock identity,integer,ptp.clockIdCnt
host.quic,QUIC Hostname,quic,QUIC host header field,lotermfield,quic.host
host.quic.cnt,QUIC Hostname Cnt,quic,Unique number of QUIC host header field,integer,quic.hostCnt
host.quic.tokens,Hostname Tokens,quic,QUIC host tokens header field,lotextfield,quic.hostTokens
quic.user-agent,User-Agent,quic,User-Agent,termfield,quic.useragent
quic.user-agent.cnt,User-Agent Cnt,quic,Unique number of User-Agent,integer,quic.useragentCnt
quic.version,Version,quic,QUIC Version,termfield,quic.version
quic.version.cnt,Version Cnt,quic,Unique number of QUIC Version,integer,quic.versionCnt
radius.user,User,radius,RADIUS user,termfield,radius.user
radius.mac,MAC,radius,RADIUS MAC,lotermfield,radius.mac
radius.mac.cnt,MAC Cnt,radius,Unique number of RADIUS MAC,integer,radius.macCnt
radius.endpoint-ip,Endpoint IP,radius,RADIUS endpoint IP addresses for session,ip,radius.endpointIp
radius.endpoint-ip.cnt,Endpoint IP Cnt,radius,Unique number of RADIUS endpoint IP addresses for session,integer,radius.endpointIpCnt
radius.endpoint-ip.country,Endpoint IP GEO,radius,GeoIP country string calculated from the RADIUS endpoint IP addresses for session,uptermfield,radius.endpointGEO
radius.endpoint-ip.asn,Endpoint IP ASN,radius,GeoIP ASN string calculated from the RADIUS endpoint IP addresses for session,termfield,radius.endpointASN
radius.endpoint-ip.rir,Endpoint IP RIR,radius,Regional Internet Registry string calculated from RADIUS endpoint IP addresses for session,uptermfield,radius.endpointRIR
radius.framed-ip,Framed IP,radius,RADIUS framed IP addresses for session,ip,radius.framedIp
radius.framed-ip.cnt,Framed IP Cnt,radius,Unique number of RADIUS framed IP addresses for session,integer,radius.framedIpCnt
radius.framed-ip.country,Framed IP GEO,radius,GeoIP country string calculated from the RADIUS framed IP addresses for session,uptermfield,radius.framedGEO
radius.framed-ip.asn,Framed IP ASN,radius,GeoIP ASN string calculated from the RADIUS framed IP addresses for session,termfield,radius.framedASN
radius.framed-ip.rir,Framed IP RIR,radius,Regional Internet Registry string calculated from RADIUS framed IP addresses for session,uptermfield,radius.framedRIR
radius.msgType,Msg Type,radius,RADIUS message type,lotermfield,radius.msgType
radius.msgType.cnt,Msg Type Cnt,radius,Unique number of RADIUS message type,integer,radius.msgTypeCnt
radius.nasIp,NAS IP,radius,RADIUS NAS IP address,ip,radius.nasIp
radius.nasIp.cnt,NAS IP Cnt,radius,Unique number of RADIUS NAS IP address,integer,radius.nasIpCnt
radius.nasIp.country,NAS IP GEO,radius,GeoIP country string calculated from the RADIUS NAS IP address,uptermfield,radius.nasGEO
radius.nasIp.asn,NAS IP ASN,radius,GeoIP ASN string calculated from the RADIUS NAS IP address,termfield,radius.nasASN
radius.nasIp.rir,NAS IP RIR,radius,Regional Internet Registry string calculated from RADIUS NAS IP address,uptermfield,radius.nasRIR
radius.nasPort,NAS Port,radius,RADIUS NAS port,integer,radius.nasPort
radius.nasPort.cnt,NAS Port Cnt,radius,Unique number of RADIUS NAS port,integer,radius.nasPortCnt
rdp.client-name,Client Name,rdp,RDP client computer name,termfield,rdp.clientName
rdp.client-name.cnt,Client Name Cnt,rdp,Unique number of RDP client computer name,integer,rdp.clientNameCnt
rdp.keyboard-layout,Keyboard Layout,rdp,RDP client keyboard layout,termfield,rdp.keyboardLayout
rdp.keyboard-layout.cnt,Keyboard Layout Cnt,rdp,Unique number of RDP client keyboard layout,integer,rdp.keyboardLayoutCnt
rdp.client-build,Client Build,rdp,RDP client build number,integer,rdp.clientBuild
rdp.client-build.cnt,Client Build Cnt,rdp,Unique number of RDP client build number,integer,rdp.clientBuildCnt
rdp.requested-protocols,Requested Protocols,rdp,RDP requested security protocols,termfield,rdp.requestedProtocols
rdp.requested-protocols.cnt,Requested Protocols Cnt,rdp,Unique number of RDP requested security protocols,integer,rdp.requestedProtocolsCnt
rdp.selected-protocol,Selected Protocol,rdp,RDP selected security protocol,termfield,rdp.selectedProtocol
rdp.selected-protocol.cnt,Selected Protocol Cnt,rdp,Unique number of RDP selected security protocol,integer,rdp.selectedProtocolCnt
s7comm.rosctr,S7comm ROSCTR,s7comm,"S7comm Remote Operating Service Control (1=Job, 2=Ack, 3=Ack_Data, 7=Userdata)",integer,s7comm.rosctr
s7comm.rosctr.cnt,S7comm ROSCTR Cnt,s7comm,"Unique number of S7comm Remote Operating Service Control (1=Job, 2=Ack, 3=Ack_Data, 7=Userdata)",integer,s7comm.rosctrCnt
s7comm.func,S7comm Function Code,s7comm,S7comm Function Codes,integer,s7comm.func
s7comm.func.cnt,S7comm Function Code Cnt,s7comm,Unique number of S7comm Function Codes,integer,s7comm.funcCnt
s7comm.funcName,S7comm Function Name,s7comm,"S7comm Function Names (Read Var, Write Var, PLC Stop, etc)",termfield,s7comm.funcName
s7comm.funcName.cnt,S7comm Function Name Cnt,s7comm,"Unique number of S7comm Function Names (Read Var, Write Var, PLC Stop, etc)",integer,s7comm.funcNameCnt
s7comm.pduref,S7comm PDU Reference,s7comm,S7comm PDU Reference IDs,integer,s7comm.pduref
s7comm.pduref.cnt,S7comm PDU Reference Cnt,s7comm,Unique number of S7comm PDU Reference IDs,integer,s7comm.pdurefCnt
s7comm.errorClass,S7comm Error Class,s7comm,S7comm Error Classes,integer,s7comm.errorClass
s7comm.errorClass.cnt,S7comm Error Class Cnt,s7comm,Unique number of S7comm Error Classes,integer,s7comm.errorClassCnt
s7comm.errorCode,S7comm Error Code,s7comm,S7comm Error Codes,integer,s7comm.errorCode
s7comm.errorCode.cnt,S7comm Error Code Cnt,s7comm,Unique number of S7comm Error Codes,integer,s7comm.errorCodeCnt
s7comm.opcode,S7comm-plus Opcode,s7comm,"S7comm-plus Opcodes (0x31=Request, 0x32=Response, 0x33=Notification)",integer,s7comm.opcode
s7comm.opcode.cnt,S7comm-plus Opcode Cnt,s7comm,"Unique number of S7comm-plus Opcodes (0x31=Request, 0x32=Response, 0x33=Notification)",integer,s7comm.opcodeCnt
sctp.protoId,Proto Id,sctp,SCTP protocol id,integer,sctp.protoId
sip.method,Method,sip,"SIP method (INVITE, BYE, REGISTER, etc.)",termfield,sip.method
sip.method.cnt,Method Cnt,sip,"Unique number of SIP method (INVITE, BYE, REGISTER, etc.)",integer,sip.methodCnt
sip.statuscode,Status Code,sip,SIP response status codes,integer,sip.statuscode
sip.statuscode.cnt,Status Code Cnt,sip,Unique number of SIP response status codes,integer,sip.statuscodeCnt
sip.callid,Call ID,sip,SIP Call-ID header,termfield,sip.callid
sip.callid.cnt,Call ID Cnt,sip,Unique number of SIP Call-ID header,integer,sip.callidCnt
sip.from,From,sip,SIP From header,termfield,sip.from
sip.from.cnt,From Cnt,sip,Unique number of SIP From header,integer,sip.fromCnt
sip.to,To,sip,SIP To header,termfield,sip.to
sip.to.cnt,To Cnt,sip,Unique number of SIP To header,integer,sip.toCnt
sip.user-agent,User-Agent,sip,SIP User-Agent header,termfield,sip.useragent
sip.user-agent.cnt,User-Agent Cnt,sip,Unique number of SIP User-Agent header,integer,sip.useragentCnt
sip.via,Via,sip,SIP Via headers,termfield,sip.via
sip.via.cnt,Via Cnt,sip,Unique number of SIP Via headers,integer,sip.viaCnt
sip.contact,Contact,sip,SIP Contact header,termfield,sip.contact
sip.contact.cnt,Contact Cnt,sip,Unique number of SIP Contact header,integer,sip.contactCnt
sip.user,User,sip,SIP user from URI or auth,termfield,sip.user
sip.user.cnt,User Cnt,sip,Unique number of SIP user from URI or auth,integer,sip.userCnt
smb.share,Share,smb,SMB shares connected to,termfield,smb.share
smb.share.cnt,Share Cnt,smb,Unique number of SMB shares connected to,integer,smb.shareCnt
smb.fn,Filename,smb,"SMB files opened, created, deleted",termfield,smb.filename
smb.fn.cnt,Filename Cnt,smb,"Unique number of SMB files opened, created, deleted",integer,smb.filenameCnt
smb.os,OS,smb,SMB OS information,termfield,smb.os
smb.os.cnt,OS Cnt,smb,Unique number of SMB OS information,integer,smb.osCnt
smb.domain,Domain,smb,SMB domain,termfield,smb.domain
